rank,year,chart,artist,featured_artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
1,2016,Hot Country Songs,Florida Georgia Line,NA,H.O.L.Y.,0.525,0.685,7,-3.954,0,0.0351,0.385,0,0.0731,0.54,78.003,audio_features,194187,4
2,2016,Hot Country Songs,Thomas Rhett,NA,Die A Happy Man,0.66,0.383,2,-9.377,1,0.0304,0.381,0,0.119,0.381,83.096,audio_features,227427,4
3,2016,Hot Country Songs,Tim McGraw,NA,Humble And Kind,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-6,0.12,0.137,100.956,audio_features,259267,3
4,2016,Hot Country Songs,Dierks Bentley,NA,Somewhere On A Beach,0.573,0.635,7,-6.621,1,0.0275,5.98e-4,0,0.0845,0.447,144.031,audio_features,197120,4
5,2016,Hot Country Songs,Jon Pardi,NA,Head Over Boots,0.557,0.676,7,-4.457,1,0.027,0.0661,0,0.0871,0.678,108.016,audio_features,202347,4
6,2016,Hot Country Songs,Cole Swindell,NA,You Should Be Here,0.531,0.746,11,-4.228,1,0.0329,0.0972,0,0.102,0.304,139.788,audio_features,226307,4
7,2016,Hot Country Songs,Sam Hunt,NA,Break Up In A Small Town,0.579,0.776,8,-5.365,1,0.173,0.0749,0,0.239,0.434,136.044,audio_features,229880,4
8,2016,Hot Country Songs,Maren Morris,NA,My Church,0.517,0.743,9,-4.336,1,0.0363,0.243,3.36e-6,0.107,0.664,76.979,audio_features,197931,4
9,2016,Hot Country Songs,Blake Shelton,NA,Came Here To Forget,0.613,0.667,1,-6.874,0,0.029,0.356,1.29e-5,0.111,0.481,130.023,audio_features,220413,4
10,2016,Hot Country Songs,Kelsea Ballerini,NA,Peter Pan,0.514,0.659,1,-6.142,1,0.0309,0.0284,0,0.266,0.463,76.483,audio_features,200040,4
11,2016,Hot Country Songs,Luke Bryan,NA,"Huntin', Fishin' & Lovin' Every Day",0.546,0.805,0,-4.251,1,0.0348,0.125,9.27e-6,0.148,0.387,77.029,audio_features,278613,4
12,2016,Hot Country Songs,Dan + Shay,NA,From The Ground Up,0.281,0.58,9,-5.967,1,0.0323,0.333,0,0.122,0.282,151.568,audio_features,253933,3
13,2016,Hot Country Songs,Jason Aldean,NA,Lights Come On,0.567,0.839,6,-4.048,0,0.0698,0.0489,0,0.103,0.903,160.062,audio_features,194507,4
14,2016,Hot Country Songs,Carrie Underwood,NA,Church Bells,0.575,0.844,3,-1.772,0,0.0633,0.226,0,0.0538,0.542,87.007,audio_features,193333,4
15,2016,Hot Country Songs,Dierks Bentley,Elle King,Different For Girls,0.661,0.785,4,-5.623,1,0.0369,0.445,2.66e-4,0.0854,0.371,91.975,audio_features,180360,4
16,2016,Hot Country Songs,Thomas Rhett,NA,T-Shirt,0.647,0.857,2,-5.381,1,0.0397,0.0318,0,0.0212,0.771,95.996,audio_features,227693,4
17,2016,Hot Country Songs,Eric Church,NA,Record Year,0.589,0.641,5,-8.12,1,0.0838,0.205,0,0.0864,0.57,160.031,audio_features,179347,4
18,2016,Hot Country Songs,Old Dominion,NA,Snapback,0.687,0.793,5,-3.577,1,0.0333,0.305,3.23e-6,0.1,0.673,100.991,audio_features,206507,4
19,2016,Hot Country Songs,Chris Young Duet With Cassadee Pope,NA,Think Of You,0.632,0.323,10,-14.042,0,0.951,0.811,0,0.102,0.769,171.053,audio_features,46253,4
20,2016,Hot Country Songs,Kenny Chesney,P!nk,Setting The World On Fire,0.61,0.822,0,-4.422,1,0.0355,0.0171,1.88e-6,0.093,0.437,93.993,audio_features,217467,4
21,2016,Hot Country Songs,Luke Bryan,Karen Fairchild,Home Alone Tonight,0.498,0.968,8,-1.18,1,0.113,0.076,0,0.0947,0.491,161.989,audio_features,190773,4
22,2016,Hot Country Songs,Jake Owen,NA,American Country Love Song,0.529,0.891,8,-4.36,1,0.043,0.0457,0,0.0942,0.329,104.031,audio_features,199747,4
23,2016,Hot Country Songs,Cole Swindell,NA,Middle Of A Memory,0.531,0.746,11,-4.228,1,0.0329,0.0972,0,0.102,0.304,139.788,audio_features,226307,4
24,2016,Hot Country Songs,Brett Eldredge,NA,Drunk On Your Love,0.443,0.831,11,-5.606,1,0.0616,0.414,0,0.204,0.588,182.064,audio_features,173960,4
25,2016,Hot Country Songs,Keith Urban,NA,Wasted Time,0.626,0.831,7,-5.69,1,0.0481,0.0628,0,0.0799,0.304,100.009,audio_features,233827,4
