chart,id,x1,x2,x3,x4,x5
Hot Country Songs,Eric Church....Desperate Man,1.6645937780250286e-4,1.6645937750448073e-4,1.6645937727950344e-4,1.6645937732085873e-4,0.9993341624900928
Hot R&B/Hip-Hop Songs,Post Malone....Ball For Me,0.9392190655874051,1.007848400777907e-4,1.0078484028440746e-4,1.0078484018959754e-4,0.06047857989204319
Hot R&B/Hip-Hop Songs,Migos....Walk It Talk It,7.170760075129053e-5,7.170760077443199e-5,7.170760079289664e-5,0.9997131695968415,7.170760083973607e-5
Hot Country Songs,"Dierks Bentley....Woman, Amen",0.9992590569143317,1.8523577164336402e-4,1.8523577135899053e-4,1.8523577139280018e-4,1.8523577127311445e-4
Hot Country Songs,Eric Church....Mr. Misunderstood,1.3798598914886902e-4,0.1610151807581231,1.3798598889513632e-4,1.3798598904169975e-4,0.8385708612747913
Hot R&B/Hip-Hop Songs,Migos....Narcos,8.120563329021995e-5,0.4282278211434846,8.120563342866052e-5,0.16002588658386202,0.4115838810059345
Hot R&B/Hip-Hop Songs,DJ Khaled....I Got The Keys,9.926185162552327e-5,9.926185148228099e-5,0.9996029525940449,9.926185144181907e-5,9.92618514054809e-5
Hot R&B/Hip-Hop Songs,DJ Khaled....I'm The One,0.9810599822174556,8.872714135125425e-5,0.01867383635811987,8.872714154639223e-5,8.872714152679486e-5
Hot R&B/Hip-Hop Songs,Rihanna....Work,0.2644180164058206,1.2764364493601538e-4,1.276436447187229e-4,1.2764364468290893e-4,0.7351990526598419
Hot R&B/Hip-Hop Songs,Tyga....Taste,1.0915905439222467e-4,0.02825186749256527,1.0915905426667693e-4,1.0915905432489916e-4,0.9714206553444509
Hot R&B/Hip-Hop Songs,Cardi B....Drip,7.80358526758931e-5,7.803585271751248e-5,7.803585269405021e-5,7.803585264662254e-5,0.9996878565892658
Hot R&B/Hip-Hop Songs,Chris Brown....Pills And Automobiles,0.2525306746149883,1.0468562714764041e-4,0.7471552685035412,1.046856271188989e-4,1.0468562720400342e-4
Hot R&B/Hip-Hop Songs,Kanye West....Famous,0.1438274999610091,1.3242251729670882e-4,1.3242251723947845e-4,1.3242251724637793e-4,0.8557752324872083
Hot R&B/Hip-Hop Songs,Yella Beezy....That's On Me,1.1693174272323213e-4,1.169317426852126e-4,0.9995322730293723,1.1693174261008891e-4,1.1693174260918051e-4
Hot R&B/Hip-Hop Songs,"Cardi B, Bad Bunny & J Balvin....I Like It",0.8487717212416844,8.296387033441153e-5,8.296387045642749e-5,8.296387055549448e-5,0.15097938714696932
Hot R&B/Hip-Hop Songs,Childish Gambino....This Is America,1.0327486450463411e-4,1.0327486448996123e-4,0.8223655666070816,0.17732460879951822,1.0327486440559109e-4
Hot R&B/Hip-Hop Songs,Future....Wicked,0.0535642421844744,1.954728418240923e-4,1.954728418230113e-4,1.9547284177704098e-4,0.9458493392901014
Hot R&B/Hip-Hop Songs,The Weeknd....I Feel It Coming,1.7806248303181625e-4,0.9992877500688385,1.780624828541731e-4,1.7806248254891979e-4,1.7806248272659052e-4
Hot R&B/Hip-Hop Songs,2 Chainz....It's A Vibe,0.059467362523894014,1.8449253922920084e-4,0.9399791598586927,1.8449253899667975e-4,1.8449253918736557e-4
Hot R&B/Hip-Hop Songs,Kendrick Lamar....Humble.,1.3318967261217895e-4,1.33189672766822e-4,1.331896728106726e-4,1.3318967277443108e-4,0.9994672413090359
Hot R&B/Hip-Hop Songs,Cardi B....Bartier Cardi,8.543014345749252e-5,8.543014343539383e-5,8.543014353944375e-5,8.543014364133108e-5,0.9996582794259263
Hot R&B/Hip-Hop Songs,Chris Brown....Questions,0.9990382036112976,2.4044909725595546e-4,2.4044909722819842e-4,2.4044909713608406e-4,2.404490970821233e-4
Hot R&B/Hip-Hop Songs,DJ Khaled....Do You Mind,0.6756031799046645,0.05454124812750331,0.2696640759464345,9.574801068100445e-5,9.574801071681657e-5
Hot R&B/Hip-Hop Songs,Yo Gotti....Law,1.2029686192848056e-4,1.2029686184855875e-4,0.9995188125526869,1.2029686175418245e-4,1.2029686178180861e-4
Hot R&B/Hip-Hop Songs,A$AP Ferg....New Level,1.1752950752069406e-4,1.1752950762915764e-4,1.1752950750990126e-4,1.175295075168719e-4,0.9995298819698234
Hot R&B/Hip-Hop Songs,Yo Gotti....Rake It Up,9.969227393185339e-5,9.969227391326752e-5,0.9996012309043388,9.969227389553222e-5,9.969227392049029e-5
Hot R&B/Hip-Hop Songs,Kevin Gates....Really Really,1.363492897637667e-4,0.5116168707795268,1.3634928995051072e-4,0.48797408135090853,1.3634928985040173e-4
Hot Country Songs,Old Dominion....Snapback,0.999067462755845,2.33134311351372e-4,2.331343108587476e-4,2.331343109580995e-4,2.331343109868371e-4
Hot R&B/Hip-Hop Songs,Beyonce....Hold Up,0.9992793782045493,1.8015544869559862e-4,1.8015544880512152e-4,1.8015544895427194e-4,1.8015544899573438e-4
Hot R&B/Hip-Hop Songs,DJ Khaled....Wild Thoughts,1.8904360502691e-4,0.14134596292962923,0.01799442013522857,0.8402815297254408,1.8904360467444266e-4
Hot R&B/Hip-Hop Songs,Kent Jones....Don't Mind,0.9994183844436968,1.4540388895100886e-4,1.454038893508309e-4,1.4540388903194737e-4,1.4540388896943293e-4
Hot R&B/Hip-Hop Songs,Lil' Duval....Smile (Living My Best Life),1.2799897045511426e-4,1.2799897063936821e-4,0.9994880041178531,1.279989705373044e-4,1.2799897051522227e-4
Hot R&B/Hip-Hop Songs,Lil Pump....Gucci Gang,1.4269643279369933e-4,1.4269643271297764e-4,1.426964328592209e-4,0.9994292142686297,1.4269643300441362e-4
Hot R&B/Hip-Hop Songs,YG....Big Bank,9.969227406739734e-5,9.96922740757095e-5,9.969227405852488e-5,9.969227405465751e-5,0.9996012309037436
Hot R&B/Hip-Hop Songs,21 Savage & Metro Boomin....X,1.0864321610117498e-4,1.0864321609478587e-4,1.0864321613985619e-4,0.9995654271354593,1.0864321620496671e-4
Hot R&B/Hip-Hop Songs,Kevin Gates....2 Phones,0.5462362129194499,1.0212795175984652e-4,0.4534574032250685,1.0212795186186155e-4,1.0212795185995387e-4
Hot R&B/Hip-Hop Songs,Beyonce....Formation,1.1047033740520946e-4,0.8879820865577475,0.11168650242972901,1.1047033761698715e-4,1.1047033750134097e-4
Hot R&B/Hip-Hop Songs,G-Eazy & Halsey....Him & I,0.9026379263294044,1.3166414842165838e-4,0.09696708122538018,1.3166414840566553e-4,1.3166414838815122e-4
Hot Country Songs,Granger Smith....Backroad Song,2.069076077896073e-4,0.9991723695693877,2.0690760783829022e-4,2.0690760763417035e-4,2.0690760735017971e-4
Hot R&B/Hip-Hop Songs,Chance The Rapper....No Problem,1.0638101969631906e-4,0.5429781784154148,0.2989909279767198,1.0638101979398432e-4,0.1578181315683751
Hot R&B/Hip-Hop Songs,Playboi Carti....Wokeuplikethis*,1.3017317462062514e-4,1.301731743322359e-4,0.5310207872703305,0.46858869320612784,1.301731745887237e-4
Hot R&B/Hip-Hop Songs,Beyonce....Sorry,1.7534635516690714e-4,0.2279237728815325,0.7715501880533346,1.7534635509108327e-4,1.7534635487488298e-4
Hot Country Songs,Chris Lane....Take Back Home Girl,2.1070007802069223e-4,0.9991571996877068,2.107000782741369e-4,2.1070007796021505e-4,2.1070007803809275e-4
Hot R&B/Hip-Hop Songs,Desiigner....Tiimmy Turner,1.05647745054055e-4,1.0564774492546197e-4,1.0564774498760644e-4,1.056477449777e-4,0.9995774090200552
Hot R&B/Hip-Hop Songs,DeJ Loaf....Back Up,1.1100371448571473e-4,1.1100371433713863e-4,0.9995559851424146,1.11003714374736e-4,1.1100371438774e-4
Hot R&B/Hip-Hop Songs,ScHoolboy Q....THat Part,1.1100371435714651e-4,1.1100371438664822e-4,0.9995559851425678,1.1100371437000377e-4,1.1100371431842069e-4
Hot R&B/Hip-Hop Songs,YFN Lucci....Everyday We Lit,1.4269643288023932e-4,1.4269643281191808e-4,0.9994292142684351,1.4269643288300024e-4,1.4269643298976437e-4
Hot R&B/Hip-Hop Songs,21 Savage....Bank Account,9.476138534358108e-5,9.476138529057715e-5,9.476138544288466e-5,0.9996209544584498,9.476138547309907e-5
Hot R&B/Hip-Hop Songs,Chris Brown....Party,1.467965138835432e-4,1.4679651388670062e-4,0.17788994396862787,0.8216696664897667,1.4679651383529092e-4
Hot R&B/Hip-Hop Songs,Big Sean....Moves,1.5366464825251853e-4,0.21315066146157263,0.07387582384435527,1.5366464822140935e-4,0.7126661853975982
Hot R&B/Hip-Hop Songs,Travis Scott....Sicko Mode,1.0145195092702209e-4,0.0811947229772566,0.9185009211698973,1.0145195093643981e-4,1.0145195098264334e-4
Hot R&B/Hip-Hop Songs,Fetty Wap....Again,0.2558690207398573,1.2221531959418844e-4,0.7437643333015118,1.222153195748509e-4,1.222153194619406e-4
Hot R&B/Hip-Hop Songs,Alessia Cara....Here,0.9430160049048866,0.05629849472635044,2.2850012309280548e-4,2.2850012291366717e-4,2.2850012275658644e-4
Hot R&B/Hip-Hop Songs,DJ ESCO....Too Much Sauce,1.6292057367954182e-4,1.629205736673263e-4,1.6292057373645824e-4,0.999348317705332,1.6292057358462984e-4
Hot R&B/Hip-Hop Songs,Future....Low Life,8.72125378698155e-5,0.7308568422671375,0.14300736524488647,8.721253791412269e-5,0.12596136741219197
Hot R&B/Hip-Hop Songs,Kendrick Lamar....Love.,0.6051541975487499,1.6467096552583e-4,1.6467096559877187e-4,1.6467096553041772e-4,0.3943517895545952
Hot R&B/Hip-Hop Songs,The Weeknd....Reminder,0.3785713469295472,0.08632903672343095,1.3634928993369851e-4,1.3634928980582394e-4,0.5348269177672823
Hot R&B/Hip-Hop Songs,Tory Lanez....Say It,0.30907842512109435,1.6828706238679992e-4,0.6904167136919128,1.6828706226498533e-4,1.6828706234102225e-4
Hot Country Songs,Blake Shelton....Turnin' Me On,3.0812227595826376e-4,0.9987675108962537,3.0812227585687557e-4,3.0812227582947295e-4,3.0812227610165665e-4
Hot R&B/Hip-Hop Songs,Cardi B....Ring,0.7487686184509615,1.9714906639601624e-4,0.13935178764293957,0.11148529577328789,1.9714906641487282e-4
Hot R&B/Hip-Hop Songs,Desiigner....Panda,1.0838712080725574e-4,1.0838712088307668e-4,1.0838712101320512e-4,0.9995664515163061,1.0838712099035495e-4
Hot R&B/Hip-Hop Songs,Post Malone....Congratulations,0.14914854590850565,1.3318967271541362e-4,0.850451885073149,1.331896727758754e-4,1.3318967285405232e-4
Hot R&B/Hip-Hop Songs,Young Greatness....Moolah,1.1403186483168141e-4,1.1403186483365546e-4,1.1403186484419075e-4,1.1403186475059111e-4,0.9995438725407398
Hot Country Songs,Blake Shelton....Every Time I Hear That Song,0.9988662741818101,2.834314550754294e-4,2.834314543987685e-4,2.834314543694889e-4,2.834314543462864e-4
Hot R&B/Hip-Hop Songs,Ella Mai....Trip,0.1507132192799293,0.7026318337754149,1.7945234793193072e-4,1.794523479859017e-4,0.14629604224873796
Hot R&B/Hip-Hop Songs,Khalid....Young Dumb & Broke,2.6543371922965324e-4,0.9989382651223881,2.6543371938921663e-4,2.654337197595071e-4,2.654337192335205e-4
Hot Country Songs,LOCASH....I Know Somebody,0.49143454940570147,0.5079215480826833,2.146341706113688e-4,2.14634170628679e-4,2.146341703750955e-4
Hot R&B/Hip-Hop Songs,Ayo & Teo....Rolex,1.4314065213247686e-4,1.4314065208472664e-4,1.4314065212749793e-4,0.999427437391651,1.4314065200441125e-4
Hot R&B/Hip-Hop Songs,DJ Khaled....No Brainer,0.9009307379721914,1.00126445481716e-4,0.05289933533667824,1.0012644555190563e-4,0.045969673800096825
Hot R&B/Hip-Hop Songs,Future....Where Ya At,1.4632935088706436e-4,1.4632935094120562e-4,1.4632935107143608e-4,1.4632935099905204e-4,0.9994146825961012
Hot R&B/Hip-Hop Songs,Kanye West....Fade,0.08726671905415799,0.8017616399303721,0.11053627597478502,2.1768252035511194e-4,2.17682520329876e-4
Hot R&B/Hip-Hop Songs,Lil Pump....Esskeetit,0.3800565027416863,1.0100623330202161e-4,0.13750444888057156,1.0100623351430235e-4,0.48223703591092587
Hot R&B/Hip-Hop Songs,Lil Uzi Vert....Money Longer,1.682870620562574e-4,1.6828706215004315e-4,0.9993268517515504,1.6828706219637856e-4,1.6828706204690826e-4
Hot R&B/Hip-Hop Songs,YG....Why You Always Hatin?,1.4181621550588008e-4,1.4181621555039338e-4,0.9994327351382339,1.4181621538516666e-4,1.418162153245926e-4
